Mask,GHSL Range,Label
G1,30,Urban Core
G2,23-30,Dense Urban
G3,22-30,Core & Inner
G4,21-30,Urban Fringe
G5,13-30,Built-Up / Rural Mix
G6,12-30,Low–Mid Rural
G7,11-30,Rural Settlements
G8,10-30,All Land
